,X,X._AnswerID,ResumeCode,Start,Dateandtime,Participationstatus,age,rela_status,sex,sex_oritation,length,hex01,hex02,hex03,hex04,hex05,hex06,hex07,hex08,hex09,hex10,hex11,hex12,hex13,hex14,hex15,hex16,hex17,hex18,hex19,hex20,Disagree,hex21,hex22,hex23,hex24,hex25,hex26,hex27,hex28,hex29,hex30,hex31,hex32,hex33,hex34,hex35,hex36,hex37,hex38,hex39,hex40,hex41,hex42,hex43,hex44,hex45,hex46,hex47,hex48,hex49,hex50,hex51,hex52,hex53,hex54,hex55,hex56,hex57,hex58,hex59,hex60,phex01,phex02,phex03,phex04,phex05,phex06,phex07,phex08,phex09,phex10,phex11,phex12,phex13,phex14,phex15,phex16,phex17,phex18,phex19,phex20,phex21,Agree,phex22,phex23,phex24,phex25,phex26,phex27,phex28,phex29,phex30,phex31,phex32,phex33,phex34,phex35,phex36,phex37,phex38,phex39,phex40,phex41,phex42,phex43,phex44,phex45,phex46,phex47,phex48,phex49,phex50,phex51,phex52,phex53,phex54,phex55,phex56,phex57,phex58,phex59,phex60,satis01,satis02,satis03,satis04,satis05,satis06,satis07,commit01,commit02,commit03,commit04,commit05,commit06,commit07,IOS,commit03r,commit04r,satis04r,satis07r,hex30r,hex12r,hex60r,hex42r,hex24r,hex48r,hex53r,hex35r,hex41r,hex59r,hex28r,hex52r,hex10r,hex46r,hex09r,hex15r,hex57r,hex21r,hex26r,hex32r,hex14r,hex20r,hex44r,hex56r,hex01r,hex31r,hex49r,hex19r,hex55r,phex30r,phex12r,phex60r,phex42r,phex24r,phex48r,phex53r,phex35r,phex41r,phex59r,phex28r,phex52r,phex10r,phex46r,phex09r,phex15r,phex57r,phex21r,phex26r,phex32r,phex14r,phex20r,phex44r,phex56r,phex01r,phex31r,phex49r,phex19r,phex55r,HH,EM,EX,AG,CO,OP,pHH,pEM,pEX,pAG,pCO,pOP,satis,commit
78,106,59781536,d390849   ,"Jul 29, 2019 16:06","Jul 29, 2019 16:20",participated and completed        ,19,In a relationship        ,Female  ,I am in a heterosexual relationship,19,3,5,3,3,4,2,3,5,2,5,5,4,5,1,4,3,4,4,2,1,2,3,4,5,2,4,1,3,4,2,1,5,1,3,2,1,4,3,4,4,3,2,2,3,2,2,2,5,3,4,5,2,4,2,4,3,1,4,1,1,4,2,2,2,3,2,2,4,5,4,1,1,5,5,4,4,5,4,4,3,5,3,4,4,3,4,5,4,3,2,2,4,4,5,2,5,4,4,5,2,2,4,2,2,3,5,4,3,4,4,1,3,2,4,4,4,3,5,4,5,2,5,4,4,5,2,5,5,3,9,7,1,2,9,9,9,4,9,8,4,3,5,2,2,4,4,3,4,5,4,5,2,2,1,4,4,2,2,3,5,5,5,5,4,5,3,1,2,4,3,2,1,1,4,2,2,2,2,4,4,4,2,5,3,2,2,2,3,2,1,2,1,1,1,4,2,5,3,3,3.4,4.3,2.5,2.8,4.8,3.1,2.6,2.8,4,2.4,2,3.9,4.285714286,8
79,110,59782040,582184e   ,"Jul 29, 2019 16:19","Jul 29, 2019 16:35",participated and completed        ,24,In a relationship        ,Male    ,I am in a heterosexual relationship,31,2,4,4,2,2,2,3,2,4,2,4,4,2,2,3,1,2,2,2,3,2,1,1,2,2,5,4,3,3,4,2,2,2,4,1,1,3,4,2,4,2,4,4,4,4,4,4,1,2,5,2,2,5,2,2,1,2,3,2,4,4,1,3,2,4,2,4,4,5,2,2,5,4,5,2,4,5,4,4,2,4,2,4,4,4,2,5,4,2,2,2,2,2,2,4,4,2,4,4,4,3,4,2,4,4,2,4,2,5,2,2,2,4,4,2,4,2,4,4,4,2,4,4,4,5,4,3,4,2,9,8,2,1,8,8,8,5,8,9,2,4,4,2,2,2,4,4,4,5,2,2,3,1,4,2,2,3,3,5,2,4,4,3,2,4,4,4,1,4,5,4,2,2,2,4,4,4,4,4,4,4,2,4,4,4,2,2,4,2,4,4,2,4,2,5,4,4,4,4,2.7,2.8,1.9,3.4,2.9,3.6,3.4,3.8,3.9,3.1,3.2,4.3,3.714285714,7.714285714
80,111,59782112,8223d8a   ,"Jul 29, 2019 16:25","Jul 29, 2019 17:50",participated and completed        ,19,In a relationship        ,Female  ,I am in a heterosexual relationship,13,2,4,4,5,4,5,1,4,2,3,5,2,5,2,5,5,5,2,2,2,2,2,5,5,1,5,2,3,4,1,3,3,2,4,2,1,4,5,3,3,5,5,3,3,1,3,2,5,1,1,4,4,2,1,5,1,3,3,2,1,1,2,4,4,5,2,5,4,5,3,2,2,2,5,1,3,5,3,2,3,3,1,4,5,3,1,5,2,3,2,2,4,4,2,4,4,5,5,5,4,4,5,5,2,3,2,5,1,4,1,1,3,5,1,5,5,2,3,2,3,1,1,5,5,5,1,5,5,1,9,9,1,1,9,9,9,5,9,9,5,5,3,4,5,3,5,5,5,5,1,5,2,4,3,4,4,1,3,4,4,4,4,4,5,3,4,3,5,4,5,2,4,5,4,5,5,1,1,1,5,4,5,4,5,3,3,4,5,4,4,5,3,4,3,4,2,5,3,4,4.1,4.1,3.7,3.3,3.9,4,4.2,2.4,4.5,4,3.9,4,5,8.428571429
81,113,59782361,01d652b   ,"Jul 29, 2019 16:33","Jul 29, 2019 18:14",participated and completed        ,25,In a domestic partnership,Female  ,I am in a heterosexual relationship,87,1,2,2,2,4,4,4,4,3,5,4,5,5,2,4,1,4,5,2,2,2,2,2,2,2,4,4,2,4,2,4,4,3,4,1,2,2,5,4,2,1,2,1,5,2,3,4,5,2,1,3,2,3,2,4,1,5,4,3,4,4,3,4,4,5,1,2,1,5,2,4,2,5,3,1,4,4,4,2,4,1,2,4,4,2,4,1,1,3,1,1,4,4,2,4,3,4,1,3,4,2,4,4,4,5,2,2,2,4,2,2,4,1,1,4,1,5,3,4,2,4,5,5,5,5,1,1,5,1,9,9,1,1,9,9,9,5,9,9,5,5,2,1,2,5,4,4,4,4,4,2,2,3,1,2,3,2,2,4,2,3,4,4,4,1,5,2,5,4,5,2,1,1,2,2,4,2,2,2,2,5,5,2,4,4,2,2,4,5,4,5,5,4,3,3,2,4,2,1,3.3,3.5,1.8,2.6,3.1,4.4,1.8,2.2,3.8,2.8,4.3,2.5,4.428571429,8.428571429
82,116,59782452,dc4930a   ,"Jul 29, 2019 16:38","Jul 29, 2019 16:54",participated and completed        ,25,In a relationship        ,Male    ,I am in a heterosexual relationship,8,5,5,3,3,1,5,5,5,1,1,5,5,1,1,2,5,1,4,5,1,2,3,3,1,1,5,1,3,1,1,1,5,1,5,5,1,5,3,5,4,5,5,1,3,5,3,3,4,1,5,3,4,1,5,5,3,5,3,5,5,1,1,1,1,3,1,5,5,4,1,5,5,2,5,1,1,2,5,5,5,5,1,4,3,5,1,5,5,1,3,5,1,5,1,2,1,5,2,5,3,3,2,1,2,3,2,5,2,5,2,1,2,3,1,1,5,1,1,3,1,1,2,5,5,5,1,5,3,4,9,9,1,1,9,5,9,7,9,9,5,2,5,1,5,5,5,5,1,5,1,1,5,5,5,3,5,4,3,3,5,5,5,5,1,1,1,1,1,1,3,5,4,4,4,5,4,5,1,5,5,3,5,1,4,5,5,3,5,1,5,5,1,4,5,5,1,5,1,5,4.5,2.1,4.4,3.7,4,2.4,4.3,4.2,2.5,3.3,3.1,4,4.285714286,7.857142857
83,117,59782453,877216c   ,"Jul 29, 2019 16:38","Jul 29, 2019 19:09",participated and completed        ,20,In a relationship        ,Female  ,I am in a heterosexual relationship,3,2,2,2,2,2,2,5,4,2,3,4,5,5,3,4,5,5,4,2,4,2,3,4,4,3,4,4,4,2,3,5,5,2,4,4,1,1,3,2,4,4,2,2,5,5,3,2,4,2,5,2,2,4,2,2,1,4,4,2,2,5,3,4,3,2,2,2,4,3,4,2,4,5,2,2,4,4,2,2,4,3,3,4,4,2,2,1,2,2,4,2,3,4,4,2,4,2,1,3,4,2,4,4,4,4,3,4,2,4,2,4,2,2,4,4,2,2,4,4,3,4,5,4,4,5,2,4,3,2,7,9,5,2,5,6,5,2,5,8,4,4,1,1,1,4,3,4,4,5,4,4,4,2,3,4,4,2,2,3,2,4,3,2,1,2,4,1,1,4,5,3,1,1,2,4,4,2,4,2,2,2,2,4,4,2,2,2,3,4,2,4,3,3,2,3,2,2,2,4,2.3,3.9,3.4,3,2.4,3.7,2.2,2.6,3.3,2.4,3.1,2.7,4,5.857142857
84,118,59782695,8b7a247   ,"Jul 29, 2019 16:47","Jul 29, 2019 17:00",participated but not yet completed,27,In a relationship        ,Female  ,I am in a heterosexual relationship,60,5,1,1,3,3,2,2,3,2,2,5,4,4,2,4,5,5,3,2,4,2,2,4,4,4,2,4,2,3,5,3,3,4,4,2,1,5,5,3,1,4,4,4,3,3,3,3,5,5,1,3,3,2,2,5,3,5,5,3,1,4,4,5,1,2,4,2,5,2,4,2,5,3,1,2,4,3,5,3,2,1,5,4,2,3,5,2,3,1,2,2,4,2,5,1,4,1,3,1,2,2,4,5,3,3,2,1,4,2,5,5,4,1,4,4,2,4,1,5,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,4,5,2,5,3,4,4,3,4,2,1,4,2,2,4,2,3,1,1,3,5,4,3,2,3,3,3,1,1,2,5,1,3,4,2,4,2,2,2,1,1,3,1,4,5,4,5,2,4,1,4,2,2.7,4.3,3.5,2.5,2.4,3.2,2.3,3.2,3.1,1.3,3.5,2.5,NA,NA
85,119,59782779,8e0c751   ,"Jul 29, 2019 16:50","Jul 29, 2019 17:57",participated and completed        ,21,In a relationship        ,Female  ,I am in a heterosexual relationship,17,2,4,1,2,3,3,2,4,3,2,1,5,5,1,5,2,5,3,4,1,2,5,4,3,3,4,2,1,1,2,5,3,3,3,3,1,5,5,3,5,1,5,3,5,3,2,3,5,2,2,3,4,4,3,2,1,3,3,4,3,4,2,5,3,4,4,1,5,5,1,3,4,5,5,5,2,5,2,1,1,5,1,4,5,3,3,2,5,3,1,3,5,2,5,2,5,4,3,5,2,4,4,5,5,2,5,4,2,2,4,3,4,4,4,3,5,3,3,4,4,5,5,4,3,4,5,3,5,5,9,8,1,1,9,9,5,6,9,9,1,1,1,1,2,3,3,4,3,5,1,3,5,2,4,3,3,1,3,1,4,3,5,5,3,3,4,3,4,2,5,1,1,1,1,3,2,3,2,1,1,5,2,3,4,5,4,2,5,1,1,1,1,1,3,4,4,3,5,3,2.7,3.1,3,2.4,3.7,3.9,1.9,2.5,4.1,3.6,2.4,3.8,3,7.714285714
86,121,59783577,7ee0f23   ,"Jul 29, 2019 17:23","Jul 29, 2019 17:50",participated and completed        ,18,In a relationship        ,Female  ,I am in a heterosexual relationship,6,2,5,2,4,3,3,4,5,4,2,5,5,5,3,4,3,5,2,3,2,2,5,4,5,2,5,2,3,3,4,4,5,4,3,2,5,3,4,4,4,3,1,3,3,2,2,3,5,2,3,1,4,5,1,5,1,2,5,5,1,1,2,2,5,2,2,2,5,5,4,4,4,4,4,4,2,3,2,2,4,4,3,4,4,3,2,5,2,4,4,3,4,3,4,3,5,4,4,3,3,4,5,4,4,3,4,4,4,5,3,3,4,2,5,3,3,4,3,2,3,3,2,2,3,3,1,2,5,4,9,9,5,2,9,9,6,2,5,8,5,2,2,1,5,3,4,4,5,1,5,5,3,1,4,3,2,2,1,1,4,2,3,4,4,4,4,1,3,3,5,2,2,4,2,4,3,3,2,2,3,2,1,2,2,2,4,4,3,4,2,2,2,2,3,4,3,3,2,2,3.2,4.3,3.2,2.4,3.6,3.7,2.8,2.9,2.9,3.5,2.9,3.4,3.142857143,7.285714286
87,122,59783670,87ab273   ,"Jul 29, 2019 17:27","Jul 29, 2019 17:46",participated and completed        ,21,In a relationship        ,Female  ,I am in a heterosexual relationship,33,4,4,2,1,2,5,4,3,1,4,5,4,1,1,5,5,3,3,2,3,2,4,3,2,2,1,1,2,5,4,4,2,2,4,1,1,3,1,5,4,4,4,4,3,2,2,4,5,2,5,4,4,5,4,4,5,3,2,1,2,3,5,2,2,2,1,5,2,4,1,2,2,5,1,2,5,4,2,2,3,3,4,4,2,1,2,1,2,2,2,2,2,5,1,4,3,4,4,3,4,4,4,4,5,3,2,4,2,4,2,4,2,4,2,4,5,5,3,2,2,4,5,4,4,4,1,3,5,1,9,9,1,1,9,9,9,2,9,9,5,5,2,2,3,2,4,4,2,5,2,4,1,1,2,2,5,1,4,2,5,4,5,3,4,3,2,4,1,4,1,4,1,1,1,4,4,2,2,2,2,4,4,4,4,5,1,4,2,4,5,4,3,4,3,1,1,2,3,1,3.2,3.4,2.1,3,4,2.2,3.1,2,3.3,3.2,3.5,1.8,4.285714286,8.428571429
88,123,59783927,e7948c3   ,"Jul 29, 2019 17:39","Jul 29, 2019 17:53",participated and completed        ,19,In a relationship        ,Female  ,I am in a heterosexual relationship,38,5,4,1,3,4,2,2,2,3,3,5,2,5,2,4,1,5,2,3,2,2,3,3,5,2,5,4,1,5,4,3,2,4,3,3,1,4,4,3,4,4,1,5,4,2,2,5,5,2,1,3,4,5,4,4,3,4,4,2,3,2,5,2,3,3,3,4,1,1,4,3,2,3,2,3,5,2,2,3,3,4,4,4,2,1,2,1,3,3,4,2,3,3,4,3,3,4,3,2,3,2,3,4,4,3,4,1,4,3,2,4,2,3,3,3,4,3,3,4,2,4,3,4,4,5,1,4,5,2,9,9,1,1,9,9,9,6,9,9,5,4,3,4,4,1,4,4,2,5,5,3,1,1,3,1,3,2,2,3,2,2,4,4,4,2,1,4,5,3,3,3,3,3,2,4,4,3,2,2,2,2,3,3,2,2,1,2,2,3,2,3,2,2,3,1,3,2,3,3,3.2,4.3,2.2,2.5,3,3.6,3.3,2.2,2.5,2.2,2.3,2.1,4.428571429,8.428571429
89,128,59784625,cb6ad20   ,"Jul 29, 2019 18:12","Jul 29, 2019 18:24",participated and completed        ,25,In a relationship        ,Female  ,I am in a heterosexual relationship,48,2,4,2,2,2,3,4,5,4,2,5,4,5,2,5,4,2,3,3,3,2,2,4,4,2,4,4,3,1,4,3,2,3,3,4,2,4,4,3,3,4,5,4,4,2,4,2,4,1,1,3,3,3,2,5,1,3,3,4,2,3,3,4,2,3,4,2,5,3,4,2,4,4,5,4,2,4,4,4,2,4,2,4,4,1,4,3,2,1,1,2,4,4,4,2,4,3,3,4,4,4,4,2,3,4,4,4,2,3,4,2,2,1,4,2,2,1,2,3,4,4,3,2,3,3,3,2,5,4,6,6,3,6,8,8,7,2,7,4,3,2,3,2,3,2,4,5,4,4,1,4,5,3,4,4,2,1,3,4,2,3,4,3,4,3,4,4,5,3,5,2,2,3,3,2,2,4,3,4,2,5,2,4,4,2,4,3,4,4,2,2,2,2,4,3,2,4,4,5,3.4,3.4,3.8,2.8,3.4,4.2,2.5,3.1,3.8,2.7,2.9,3.9,2.857142857,6
90,130,59784756,a9c2d70   ,"Jul 29, 2019 18:19","Jul 29, 2019 18:38",participated and completed        ,44,In a relationship        ,Male    ,I am in a heterosexual relationship,17,2,2,2,4,2,4,4,2,2,2,4,4,4,4,3,2,2,4,2,4,2,2,4,2,4,4,4,2,1,1,2,2,1,4,3,4,2,4,4,4,4,4,2,4,2,4,3,4,2,4,2,4,3,4,5,1,5,4,2,2,3,4,4,2,4,4,4,1,4,1,4,4,4,2,2,2,5,5,2,4,2,3,4,4,4,3,4,1,1,3,2,2,4,2,4,3,3,4,3,4,4,4,2,4,4,4,4,2,4,2,4,2,2,2,3,3,4,2,2,2,2,2,3,3,3,2,3,4,3,6,6,6,4,5,5,5,5,4,6,4,3,4,2,3,4,2,4,2,2,2,4,5,3,4,3,4,3,2,4,2,5,2,2,4,1,4,4,2,4,5,4,2,4,2,3,4,3,3,4,4,3,4,2,4,5,4,4,3,5,4,4,4,2,4,2,2,2,2,2,3.4,2.5,3.4,3.3,2.6,3.9,3.2,3.7,3.5,3.3,3.7,2.4,3.285714286,4.714285714
91,131,59784779,f083598   ,"Jul 29, 2019 18:20","Jul 29, 2019 18:45",participated and completed        ,19,In a relationship        ,Female  ,I am in a homosexual relationship  ,24,1,3,4,2,3,3,3,4,1,4,5,4,4,3,2,3,5,4,2,3,2,4,4,4,2,4,3,4,5,2,1,3,4,2,1,1,2,5,3,4,4,5,2,3,4,4,2,5,2,2,4,4,4,2,2,2,4,2,1,2,2,3,4,4,4,4,2,3,4,3,4,4,5,4,4,4,3,3,1,2,4,3,4,3,4,4,3,3,4,3,5,3,3,5,4,2,2,1,4,3,4,4,2,5,3,5,4,3,4,4,2,3,3,4,2,2,2,2,4,2,2,4,3,3,4,3,4,5,2,9,9,1,4,9,9,5,2,9,6,3,4,5,2,4,4,4,4,4,5,1,4,1,2,2,4,5,4,4,2,3,2,3,3,2,2,5,3,4,4,4,3,1,2,1,2,2,4,4,4,4,3,2,2,3,3,2,2,3,3,1,2,2,1,4,3,3,4,4,4,3.4,3.8,2.4,3.7,2.9,3.9,1.7,4,2.8,3.3,2.7,3.5,3.714285714,7.428571429
92,132,59784826,c18f601   ,"Jul 29, 2019 18:23","Jul 29, 2019 18:36",participated and completed        ,17,In a relationship        ,Female  ,I am in a heterosexual relationship,18,3,5,1,1,2,5,1,2,1,5,5,5,5,1,5,1,1,1,3,1,2,3,1,2,1,1,4,1,5,2,1,5,4,2,1,1,3,5,3,1,1,4,5,5,3,2,5,2,1,2,5,3,5,1,4,2,2,2,1,4,3,4,1,2,2,3,2,4,4,2,2,4,5,3,4,4,4,4,1,3,4,5,4,3,4,2,1,4,2,4,4,4,4,3,2,4,2,2,3,3,2,2,2,5,2,5,1,4,4,2,3,2,2,4,2,1,2,5,5,4,2,5,3,3,2,1,3,5,5,9,9,1,1,9,9,9,4,9,9,5,1,5,1,3,1,5,5,5,5,2,2,1,1,1,1,5,1,4,3,2,2,5,5,3,4,3,1,4,3,4,2,1,1,1,4,4,4,4,4,4,2,2,4,2,4,2,1,1,2,3,2,2,1,1,2,2,3,3,4,3.3,2.8,1,2.3,3.6,3.2,1.9,3.9,2.9,1.9,2.1,2.7,3.142857143,8.428571429
93,133,59784849,0273ff1   ,"Jul 29, 2019 18:24","Jul 29, 2019 21:11",participated and completed        ,20,In a relationship        ,Female  ,I am in a heterosexual relationship,24,3,5,3,4,3,2,2,4,4,1,3,4,3,2,4,4,5,2,2,3,2,3,4,4,4,4,1,2,2,3,3,3,2,2,4,3,2,5,4,3,4,2,5,2,2,2,2,5,3,2,3,2,2,3,2,3,3,2,3,2,4,4,4,4,4,2,4,2,5,2,2,3,2,2,2,2,5,5,3,3,3,1,4,4,3,2,1,2,4,1,2,2,5,2,4,2,4,4,4,4,4,5,1,4,2,2,4,2,5,3,3,3,2,2,4,5,4,3,2,2,2,4,5,5,5,1,5,5,1,9,9,1,1,9,9,9,5,9,9,5,5,3,2,2,1,2,3,3,3,4,4,4,4,5,4,2,2,4,3,5,4,4,3,4,3,3,3,4,4,3,4,4,2,2,4,3,2,2,5,4,5,4,4,4,4,4,4,5,4,4,4,3,4,3,2,1,3,3,2,2.1,3.7,4,2.5,3.9,3.3,3.5,3.3,3.9,3.9,3.8,2.2,5,8.428571429
94,134,59784983,befa569   ,"Jul 29, 2019 18:32","Jul 29, 2019 21:11",participated and completed        ,22,In a relationship        ,Male    ,I am in a heterosexual relationship,20,1,4,3,4,1,4,1,4,2,1,4,4,4,2,1,4,2,4,4,2,2,1,5,3,2,1,1,3,1,2,1,2,4,4,2,2,1,2,5,2,2,5,4,2,1,5,2,5,4,5,4,4,2,4,5,2,2,4,4,2,4,4,5,2,5,5,4,4,5,3,4,4,5,2,2,4,2,4,1,4,1,2,4,5,2,4,1,1,1,1,3,4,4,1,2,5,4,2,5,5,2,4,4,5,1,1,5,1,5,4,4,4,4,1,2,5,2,1,4,4,1,2,5,5,5,1,5,5,1,9,9,1,1,9,9,9,5,9,9,5,5,5,2,2,2,4,2,2,4,1,4,5,4,5,4,4,5,2,5,5,2,4,4,5,4,5,4,1,2,4,2,1,4,1,2,2,4,2,2,5,5,5,2,5,3,2,2,4,5,5,4,5,5,5,2,2,2,2,4,3.1,2.8,3.9,3.7,4.1,2.6,2.4,3.6,4.2,2.7,4.8,2.5,5,8.428571429
95,135,59785049,d356762   ,"Jul 29, 2019 18:35","Jul 29, 2019 18:46",participated but not yet completed,19,In a relationship        ,Female  ,I am in a heterosexual relationship,32,2,5,1,2,3,5,3,4,2,4,5,3,5,2,4,5,5,3,4,3,2,5,2,4,2,1,4,2,5,5,2,5,1,3,2,1,3,4,3,1,3,1,3,3,4,2,3,5,2,2,1,1,5,1,4,2,5,5,2,1,1,3,3,4,5,1,3,2,5,2,2,1,5,2,2,1,2,2,3,5,5,1,4,5,2,2,2,4,5,3,4,4,5,3,3,3,2,2,1,2,2,3,2,3,4,1,2,2,3,4,5,2,4,2,3,5,4,1,5,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,3,4,4,5,5,5,5,1,1,2,3,4,2,1,1,2,5,4,3,2,1,4,1,4,2,4,2,1,4,3,4,2,3,4,4,3,3,4,4,4,4,5,1,5,2,3,4,1,5,5,3,1,1,1,2,3.8,4.7,2.3,1.8,3,3.1,2.9,2.7,3.8,3.5,3.2,1.9,NA,NA
96,136,59785210,d7588ac   ,"Jul 29, 2019 18:46","Jul 29, 2019 19:00",participated and completed        ,26,Engaged                  ,Male    ,I am in a heterosexual relationship,60,2,3,2,2,1,3,3,5,2,2,3,5,4,2,2,2,2,2,3,2,2,1,2,3,1,4,2,2,3,2,4,5,1,4,4,4,1,3,4,4,1,5,3,3,2,4,3,1,3,5,3,3,4,4,3,1,3,3,3,5,5,4,5,2,2,5,4,4,4,1,5,5,1,3,1,4,1,5,5,3,5,1,4,2,5,1,3,1,2,4,5,2,4,2,2,1,1,5,4,4,3,4,2,1,3,2,5,4,5,1,3,3,2,4,1,4,3,1,4,1,1,1,4,4,3,1,5,5,2,9,9,9,1,9,8,9,5,1,9,5,4,2,1,1,3,5,3,2,2,1,1,3,2,4,3,4,4,3,5,4,5,4,4,4,3,4,1,1,3,5,4,5,5,5,5,5,5,5,4,5,2,2,1,2,5,2,2,5,5,4,5,1,4,5,2,2,3,3,3,2.4,1.8,2.6,3.5,3.9,3.1,4.7,4.9,1.8,3,4,3,4.285714286,7.142857143
97,137,59785286,dfc8483   ,"Jul 29, 2019 18:51","Jul 29, 2019 19:05",participated and completed        ,27,In a domestic partnership,Male    ,I am in a homosexual relationship  ,36,1,1,5,4,1,2,5,5,2,2,2,5,5,2,1,4,1,4,1,2,2,1,5,2,1,5,4,5,1,3,4,1,1,5,4,2,2,5,4,5,5,5,1,5,3,5,2,1,1,2,4,2,4,2,2,1,2,2,4,4,2,2,1,1,3,3,5,5,3,4,4,1,5,5,2,5,1,1,5,1,4,5,4,4,1,1,5,4,1,2,2,1,1,4,1,1,4,1,4,5,1,5,2,1,5,5,1,4,4,1,1,2,1,1,5,1,1,5,5,2,5,3,5,5,5,3,4,5,1,7,7,3,1,9,7,9,2,7,9,3,5,2,1,4,5,5,5,4,4,1,2,5,2,4,4,4,5,4,5,2,5,4,4,3,4,5,5,4,5,5,5,1,3,5,5,5,1,2,4,1,4,5,2,2,2,1,1,1,2,2,4,2,1,1,4,5,5,5,5,3.2,2.1,4.1,4.5,3.6,4.9,3.6,2,2.9,1.1,2.3,4.8,4.571428571,7.285714286
98,138,59785338,0d137b6   ,"Jul 29, 2019 18:53","Jul 29, 2019 19:22",participated and completed        ,21,In a relationship        ,Female  ,I am in a heterosexual relationship,15,2,5,4,4,4,4,4,4,3,2,5,2,4,2,4,4,4,3,2,3,2,1,4,3,1,3,2,4,2,2,2,4,1,4,4,2,4,5,4,4,2,2,2,4,3,4,2,4,1,1,4,2,3,4,4,2,2,2,3,2,1,2,2,2,2,4,4,3,4,2,3,5,1,4,2,1,2,4,2,3,2,2,4,3,2,2,3,4,2,4,4,3,3,1,3,1,1,4,5,5,2,2,2,2,3,3,4,3,5,1,2,4,2,5,2,4,2,2,4,2,2,1,4,5,4,2,4,5,2,8,8,2,2,8,8,8,4,8,8,4,4,4,4,5,4,5,5,2,4,4,4,4,3,4,4,3,2,4,5,4,5,4,3,3,4,4,2,5,4,4,3,5,5,4,4,5,4,5,4,4,2,1,3,3,4,5,2,4,2,5,4,4,3,4,4,3,4,3,4,4.2,3.6,3.6,3.6,4,3.9,4,4.1,2.1,3,3.7,3.6,4.285714286,7.428571429
99,139,59785591,eb67bb4   ,"Jul 29, 2019 19:06","Jul 29, 2019 19:21",participated and completed        ,25,In a relationship        ,Female  ,I am in a heterosexual relationship,16,3,2,3,5,1,1,5,3,4,2,5,5,5,1,5,2,5,1,2,5,2,3,1,2,2,4,5,2,5,3,2,2,3,5,1,1,4,5,5,2,2,1,5,5,5,5,5,5,4,1,2,2,5,1,2,1,2,4,1,3,5,1,1,5,4,1,1,5,5,4,2,4,5,2,3,4,2,2,1,3,5,5,4,2,1,4,3,3,2,2,1,4,1,3,3,3,3,2,4,3,2,2,4,5,4,4,2,4,3,5,1,4,3,4,3,2,2,5,5,3,5,5,4,4,4,4,3,5,4,9,9,1,1,9,9,9,7,9,9,2,2,4,1,1,1,4,2,5,5,5,3,1,1,4,1,2,1,2,3,1,3,5,1,1,4,3,4,5,4,5,2,1,1,1,2,1,3,3,2,1,4,2,4,2,2,2,1,1,3,3,3,1,2,1,5,5,5,3,4,2.1,3.9,1.9,2.7,2.7,4.5,1.4,2.1,2.8,2.3,2.6,4,3.428571429,8.428571429
100,141,59785904,aa64e8f   ,"Jul 29, 2019 19:19","Jul 29, 2019 19:29",participated and completed        ,23,In a relationship        ,Female  ,I am in a homosexual relationship  ,14,1,3,3,4,2,5,4,3,2,3,5,4,5,2,4,4,4,3,3,4,2,2,2,4,2,4,4,4,2,2,2,4,4,3,3,1,4,4,4,4,4,4,3,4,3,5,2,4,2,3,1,4,4,3,5,1,4,3,4,1,4,2,5,2,3,3,3,5,4,2,2,5,5,5,2,4,2,2,3,2,2,2,4,2,2,2,2,1,2,4,4,2,3,2,3,1,1,4,2,4,2,2,2,2,4,2,4,2,2,2,4,3,3,3,2,4,4,4,4,2,4,4,3,4,4,2,3,5,4,9,9,7,1,7,9,9,4,3,9,4,2,4,2,2,3,4,4,3,5,2,5,4,2,3,4,4,2,3,4,2,2,4,2,3,2,5,2,3,3,5,4,1,2,4,4,4,4,5,4,2,2,3,4,4,4,2,2,4,5,4,4,4,4,2,4,3,2,4,2,3.6,3.6,3.4,3.6,2.6,3.9,3.3,3.3,2.5,2.8,3.9,3.3,3.571428571,7.285714286
101,142,59785930,b4ef510   ,"Jul 29, 2019 19:20","Jul 29, 2019 19:42",participated and completed        ,27,In a relationship        ,Female  ,I am in a heterosexual relationship,2,1,4,2,3,3,5,4,4,2,2,5,3,3,3,2,5,4,4,1,3,2,1,4,4,2,4,2,4,4,4,2,3,2,4,4,2,4,5,4,3,4,2,4,5,3,4,2,4,2,2,3,4,5,2,5,1,3,2,4,1,1,1,2,2,4,3,4,5,5,2,2,3,5,3,1,2,3,3,4,1,4,2,4,5,3,2,2,4,4,2,1,2,3,1,2,4,4,3,4,5,4,5,4,2,5,4,4,3,3,2,2,3,4,3,4,4,1,4,2,3,3,4,3,3,3,3,3,4,2,5,5,5,4,7,8,5,2,5,6,3,4,4,3,5,2,4,4,4,4,4,5,2,1,4,4,4,4,4,5,4,4,3,3,3,3,5,3,4,5,5,4,1,2,4,4,4,2,2,2,3,4,3,4,3,4,4,4,4,2,5,5,2,2,2,5,3,4,5,5,4,4.1,3.5,3.8,3.5,4.3,3.4,2.5,3.8,3.6,3.3,4.1,3.285714286,5.285714286
